Index        TIME           {-I(VIC)}        {-I(VB)}
0       0.00000000e+00   1.06206271e-05   1.06206276e-05
100     1.00000000e-07   1.06206269e-05   1.06206273e-05
200     2.00000000e-07   -4.47394723e-06  -4.47394675e-06
300     2.97500000e-07   -3.55274482e-06  -3.55274435e-06
400     3.82500000e-07   8.32735204e-07   8.32735670e-07
500     4.70500000e-07   5.45328917e-06   5.45328963e-06
600     5.58500000e-07   -4.51855344e-06  -4.51855298e-06
700     6.43100000e-07   -2.59526740e-07  -2.59526281e-07
800     7.29500000e-07   1.12702490e-05   1.12702494e-05
900     8.17500000e-07   -1.02030256e-06  -1.02030210e-06
1000    9.02500000e-07   -9.05646034e-06  -9.05645989e-06
1100    9.90500000e-07   -4.31002069e-06  -4.31002024e-06
1200    1.07850000e-06   9.21474263e-06   9.21474308e-06
1300    1.16070000e-06   9.91805259e-07   9.91805708e-07
1400    1.24850000e-06   2.43369965e-06   2.43370010e-06
1500    1.33650000e-06   1.51312867e-06   1.51312912e-06
1600    1.42150000e-06   6.65052533e-06   6.65052578e-06
1700    1.50950000e-06   6.12942643e-06   6.12942688e-06
1800    1.59750000e-06   -3.81569632e-06  -3.81569587e-06
1900    1.68230000e-06   8.46520818e-07   8.46521264e-07
2000    1.77050000e-06   -1.77923731e-06  -1.77923686e-06
2100    1.85750000e-06   4.94176981e-06   4.94177025e-06
2200    1.94250000e-06   -3.81617636e-06  -3.81617592e-06
2300    2.03050000e-06   -2.78479081e-06  -2.78479037e-06
2400    2.11750000e-06   8.63306108e-06   8.63306151e-06
2500    2.20250000e-06   4.44604066e-06   4.44604110e-06
2600    2.28950000e-06   -9.96848078e-07  -9.96847637e-07
2700    2.37650000e-06   -1.63211270e-06  -1.63211226e-06
2800    2.46150000e-06   9.66355058e-06   9.66355101e-06
2900    2.54950000e-06   4.28012591e-05   4.28012596e-05
3000    2.63750000e-06   1.27946801e-04   1.27946801e-04
3100    2.72250000e-06   2.53044482e-04   2.53044483e-04
3200    2.81050000e-06   4.02336802e-04   4.02336803e-04
3300    2.89850000e-06   5.03478777e-04   5.03478778e-04
3400    2.98350000e-06   5.38883544e-04   5.38883545e-04
3500    3.07150000e-06   5.43984947e-04   5.43984948e-04
3600    3.15950000e-06   5.44433674e-04   5.44433674e-04
3700    3.24450000e-06   5.49094016e-04   5.49094016e-04
3800    3.33250000e-06   5.42968575e-04   5.42968576e-04
3900    3.42000000e-06   5.44430616e-04   5.44430617e-04
4000    3.50550000e-06   5.46887683e-04   5.46887684e-04
4100    3.59350000e-06   5.57954891e-04   5.57954892e-04
4200    3.68010000e-06   5.53557096e-04   5.53557097e-04
4300    3.76650000e-06   5.52936581e-04   5.52936582e-04
4400    3.85450000e-06   5.45119608e-04   5.45119609e-04
4500    3.94030000e-06   5.36722362e-04   5.36722362e-04
4600    4.02750000e-06   5.22034506e-04   5.22034507e-04
4700    4.11550000e-06   5.04965922e-04   5.04965922e-04
4800    4.20070000e-06   4.54962011e-04   4.54962011e-04
4900    4.28850000e-06   3.52922942e-04   3.52922943e-04
5000    4.37650000e-06   2.23655847e-04   2.23655848e-04
5100    4.46150000e-06   1.30322461e-04   1.30322462e-04
5200    4.54950000e-06   5.61102563e-05   5.61102568e-05
5300    4.63750000e-06   2.47216884e-05   2.47216889e-05
5400    4.72250000e-06   1.45377590e-05   1.45377595e-05
5500    4.81050000e-06   6.92833534e-06   6.92833584e-06
5600    4.89850000e-06   5.52815450e-06   5.52815499e-06
5700    4.98350000e-06   6.62357966e-06   6.62358015e-06
5800    5.07150000e-06   4.76236476e-06   4.76236524e-06
5900    5.15950000e-06   8.03460104e-06   8.03460152e-06
6000    5.24450000e-06   6.83798278e-06   6.83798326e-06
6100    5.33250000e-06   3.45659019e-06   3.45659066e-06
6200    5.42000000e-06   4.64613959e-06   4.64614007e-06
6300    5.50410000e-06   1.89828933e-07   1.89829405e-07
6400    5.59250000e-06   2.66536692e-06   2.66536739e-06
6500    5.68000000e-06   3.76341030e-06   3.76341077e-06
6600    5.76550000e-06   3.81309645e-06   3.81309691e-06
6700    5.85350000e-06   -3.64933255e-06  -3.64933209e-06
6800    5.94010000e-06   -1.99058679e-06  -1.99058633e-06
